# PP43e_neu.rpt
X	S:Mises PI 0: BLOCK	S:Mises PI 1: BLOCK	S:Mises PI 2: BLOCK	S:S11 PI 0: BLOCK_G	S:S11 PI 1: BLOCK_G	S:S11 PI 2: BLOCK_G	S:S22 PI 0: BLOCK_G	S:S22 PI 1: BLOCK_G	S:S22 PI 2: BLOCK_G	S:S33 PI 0: BLOCK_G	S:S33 PI 1: BLOCK_G	S:S33 PI 2: BLOCK_G	SDV1 PI 0: BLOCK_G1	SDV1 PI 1: BLOCK_G1	SDV1 PI 2: BLOCK_G1	TEMP PI 0: BLOCK_G1	TEMP PI 1: BLOCK_G1	TEMP PI 2: BLOCK_G1
0	0	0	0	0	0	0	0	0	0	0	0	0	1000	1000	1000	1410	1410	1410
7200	2.48374	0.883678	1.65371	2.48362	-1.0339	1.65358	2.48362	-1.0339	1.65358	-0.000126747	-0.150223	-0.000122472	1000	1000	1000	1370.35	1395.59	1409.21
14400	2.57027	0.919247	1.70886	2.57013	-1.07509	1.70873	2.57013	-1.07509	1.70873	-0.000133303	-0.155839	-0.000125466	1000	1000	1000	1329.71	1375.09	1407.9
21600	2.4916	0.886919	1.61893	2.49147	-1.03728	1.61881	2.49147	-1.03728	1.61881	-0.000130498	-0.150362	-0.000119428	1000	1000	1000	1289.05	1354.14	1406.56
28800	2.23758	0.812075	1.43468	2.23746	-0.94719	1.43457	2.23746	-0.94719	1.43457	-0.000119153	-0.135116	-0.000105717	1000	1000	1000	1248.4	1332.95	1405.19
36000	1.93815	0.649713	1.14904	1.93805	-0.760754	1.14896	1.93805	-0.760754	1.14896	-9.98604E-05	-0.111041	-8.50969E-05	1000	1000	1000	1207.76	1311.54	1403.81
37800	2.93074	1.18404	2.86023	2.93056	-1.38862	2.86007	2.93056	-1.38862	2.86007	-0.000180379	-0.204582	-0.000160238	1000	1000	1000	1197.26	1304.53	1393.58
39600	3.41904	1.42612	3.38298	3.41882	-1.67032	3.38279	3.41882	-1.67032	3.38279	-0.000214644	-0.244203	-0.000192045	1000	1000	1000	1186.58	1295.02	1382.73
41400	3.6617	1.54985	3.63542	3.66147	-1.81393	3.63521	3.66147	-1.81393	3.63521	-0.000231849	-0.264079	-0.000208049	1000	1000	1000	1175.83	1284.76	1371.8
43200	3.77144	1.61524	3.75275	3.7712	-1.88907	3.75254	3.7712	-1.88907	3.75254	-0.000240306	-0.273835	-0.000215961	1000	1000	1000	1165.04	1274.12	1360.82
45000	3.81148	1.65289	3.80074	3.81124	-1.93133	3.80052	3.81124	-1.93133	3.80052	-0.000244296	-0.278442	-0.000219785	1000	1000	1000	1154.24	1263.28	1349.82
46800	3.82133	1.68075	3.81851	3.82108	-1.9616	3.81829	3.82108	-1.9616	3.81829	-0.000246358	-0.280853	-0.000221903	1000	1000	1000	1143.43	1252.36	1338.81
48600	3.80433	1.6989	3.81052	3.80408	-1.98006	3.81029	3.80408	-1.98006	3.81029	-0.000246539	-0.28116	-0.000222232	1000	1000	1000	1132.61	1241.38	1327.79
50400	3.80303	1.71568	3.8179	3.80278	-1.99639	3.81768	3.80278	-1.99639	3.81768	-0.000246959	-0.280711	-0.000222018	1000	1000	1000	1121.79	1230.38	1316.77
52200	3.81388	1.69626	3.82439	3.81364	-1.97624	3.82417	3.81364	-1.97624	3.82417	-0.000245128	-0.279983	-0.000221511	1000	1000	1000	1110.98	1219.37	1305.75
54000	3.81133	1.66723	3.82789	3.81109	-1.94626	3.82767	3.81109	-1.94626	3.82767	-0.00024426	-0.279035	-0.000220809	1000	1000	1000	1100.16	1208.36	1294.73
55800	3.79641	1.6456	3.82728	3.79617	-1.92344	3.82706	3.79617	-1.92344	3.82706	-0.000242993	-0.277837	-0.000219937	1000	1000	1000	1089.34	1197.35	1283.71
57600	3.7736	1.63064	3.82053	3.77336	-1.90707	3.82031	3.77336	-1.90707	3.82031	-0.000241639	-0.27643	-0.000218907	1000	1000	1000	1078.52	1186.34	1272.69
59400	3.74532	1.62276	3.8063	3.74508	-1.89769	3.80609	3.74508	-1.89769	3.80609	-0.000240295	-0.274927	-0.000217826	1000	1000	1000	1067.7	1175.33	1261.67
61200	3.71393	1.62151	3.78336	3.7137	-1.89498	3.78315	3.7137	-1.89498	3.78315	-0.000239039	-0.273466	-0.000216799	1000	1000	1000	1056.89	1164.33	1250.64
63000	3.6818	1.62637	3.75061	3.68156	-1.89857	3.75039	3.68156	-1.89857	3.75039	-0.000237944	-0.272198	-0.00021602	1000	1000	1000	1046.07	1153.32	1239.62
64800	3.65125	1.6368	3.70709	3.65102	-1.90806	3.70687	3.65102	-1.90806	3.70687	-0.000237089	-0.271263	-0.000215282	1000	1000	1000	1035.25	1142.32	1228.59
66600	3.63787	1.65173	3.70235	3.63763	-1.92225	3.70214	3.63763	-1.92225	3.70214	-0.000236103	-0.270516	-0.000214982	1000	1000	1000	1024.44	1131.33	1217.57
68400	3.66162	1.63828	3.70754	3.66139	-1.90815	3.70733	3.66139	-1.90815	3.70733	-0.000235645	-0.269871	-0.00021461	1000	1000	1000	1013.62	1120.33	1206.55
70200	3.66698	1.61077	3.71251	3.66674	-1.87998	3.7123	3.66674	-1.87998	3.7123	-0.000234917	-0.269217	-0.000214219	1000	1000	1000	1002.8	1109.33	1195.52
72000	3.65533	1.5905	3.71387	3.6551	-1.85891	3.71366	3.6551	-1.85891	3.71366	-0.000234009	-0.268403	-0.000213622	1000	1000	1000	991.988	1098.33	1184.5
73800	3.63056	1.57654	3.71014	3.63033	-1.84388	3.70993	3.63033	-1.84388	3.70993	-0.000232974	-0.267336	-0.000212827	1000	1000	1000	981.173	1087.33	1173.47
75600	3.59602	1.56925	3.69907	3.59578	-1.83527	3.69886	3.59578	-1.83527	3.69886	-0.000231814	-0.266017	-0.000211865	1000	1000	1000	970.359	1076.33	1162.45
77400	3.5547	1.56817	3.67848	3.55447	-1.83267	3.67827	3.55447	-1.83267	3.67827	-0.000230533	-0.264503	-0.000210746	1000	1000	1000	959.544	1065.33	1151.42
79200	3.50972	1.57281	3.64627	3.50949	-1.83571	3.64606	3.50949	-1.83571	3.64606	-0.000229167	-0.262897	-0.000209667	1000	1000	1000	948.731	1054.32	1140.39
81000	3.46415	1.58266	3.60048	3.46392	-1.84397	3.60028	3.46392	-1.84397	3.60028	-0.00022777	-0.261315	-0.000208578	1000	1000	1000	937.917	1043.31	1129.37
82800	3.41938	1.59647	3.585	3.41915	-1.85613	3.58479	3.41915	-1.85613	3.58479	-0.000226239	-0.259654	-0.000207373	1000	1000	1000	927.104	1032.3	1118.34
84600	3.45183	1.57853	3.58189	3.45161	-1.83655	3.58168	3.45161	-1.83655	3.58168	-0.000225803	-0.25802	-0.000206157	1000	1000	1000	916.29	1021.28	1107.31
86400	3.45158	1.53721	3.57916	3.45135	-1.79371	3.57896	3.45135	-1.79371	3.57896	-0.000223123	-0.256504	-0.00020503	1000	1000	1000	905.477	1010.26	1096.28
88200	3.4216	1.50635	3.57123	3.42138	-1.76109	3.57103	3.42138	-1.76109	3.57103	-0.000221464	-0.254737	-0.000203615	1000	1000	1000	894.666	999.237	1085.26
90000	3.36758	1.48398	3.55512	3.36736	-1.73647	3.55491	3.36736	-1.73647	3.55491	-0.000219453	-0.252489	-0.000201819	1000	1000	1000	883.855	988.202	1074.23
91800	3.29583	1.46966	3.5273	3.29561	-1.71932	3.5271	3.29561	-1.71932	3.5271	-0.000217042	-0.249659	-0.000199595	1000	1000	1000	873.046	977.158	1063.19
93600	3.2119	1.46206	3.4847	3.21169	-1.70831	3.48451	3.21169	-1.70831	3.48451	-0.000214179	-0.246248	-0.000196928	1000	1000	1000	862.237	966.106	1052.16
95400	3.12139	1.45972	3.42472	3.12118	-1.70207	3.42453	3.12118	-1.70207	3.42453	-0.000210887	-0.242357	-0.000193979	1000	1000	1000	851.43	955.044	1041.13
97200	3.02966	1.46112	3.34507	3.02945	-1.69928	3.34488	3.02945	-1.69928	3.34488	-0.00020726	-0.238159	-0.00019126	1000	1000	1000	840.623	943.973	1030.09
99000	2.93972	1.4639	3.29732	2.93951	-1.69747	3.29713	2.93951	-1.69747	3.29713	-0.000203211	-0.233575	-0.000187185	1000	1000	1000	829.818	932.891	1019.05
100800	2.92438	1.42067	3.2637	2.92418	-1.64915	3.26351	2.92418	-1.64915	3.26351	-0.000196276	-0.228479	-0.000183115	1000	1000	1000	819.01	921.797	1008.01
102600	2.89432	1.34202	3.22862	2.89412	-1.56562	3.22844	2.89412	-1.56562	3.22844	-0.000194301	-0.223601	-0.000179191	1000	1000	1000	808.206	910.701	996.976
104400	2.82305	1.28212	3.18425	2.82286	-1.50056	3.18408	2.82286	-1.50056	3.18408	-0.000189767	-0.21844	-0.000174941	1000	1000	1000	797.404	899.599	985.934
106200	2.71937	1.23725	3.12601	2.71918	-1.44995	3.12584	2.71918	-1.44995	3.12584	-0.000184734	-0.2127	-0.00017023	1000	1000	1000	786.605	888.488	974.889
108000	2.59344	1.20507	3.04981	2.59326	-1.41136	3.04965	2.59326	-1.41136	3.04965	-0.000179296	-0.20629	-0.000165034	1000	1000	1000	775.808	877.368	963.842
109800	2.45402	1.1825	2.9529	2.45385	-1.38176	2.95274	2.45385	-1.38176	2.95274	-0.000173404	-0.199264	-0.000159389	1000	1000	1000	765.013	866.238	952.791
111600	2.30907	1.16631	2.8336	2.30891	-1.35805	2.83345	2.30891	-1.35805	2.83345	-0.000167063	-0.191744	-0.000153476	1000	1000	1000	754.22	855.098	941.737
113400	2.16626	1.15313	2.69165	2.1661	-1.3371	2.6915	2.1661	-1.3371	2.6915	-0.000160408	-0.183972	-0.000148619	1000	1000	1000	743.429	843.947	930.68
115200	2.02987	1.13876	2.59574	2.02971	-1.31461	2.5956	2.02971	-1.31461	2.5956	-0.000153343	-0.175857	-0.000140834	1000	1000	1000	732.641	832.785	919.622
117000	1.95505	1.06125	2.52238	1.9549	-1.22804	2.52225	1.9549	-1.22804	2.52225	-0.000148746	-0.166789	-0.000133462	1000	1000	1000	721.852	821.609	908.563
118800	1.90278	0.945609	2.44627	1.90264	-1.10378	2.44615	1.90264	-1.10378	2.44615	-0.000138027	-0.15817	-0.000126396	1000	1000	1000	711.066	810.439	897.502
120600	1.8016	0.85852	2.35855	1.80147	-1.00805	2.35843	1.80147	-1.00805	2.35843	-0.000130319	-0.149532	-0.000119221	1000	1000	1000	700.284	799.27	886.437
122400	1.66305	0.794074	2.2535	1.66293	-0.934627	2.25339	1.66293	-0.934627	2.25339	-0.000122694	-0.140553	-0.00011177	1000	1000	1000	689.506	788.097	875.368
124200	1.49965	0.747697	2.12698	1.49953	-0.878809	2.12688	1.49953	-0.878809	2.12688	-0.000114737	-0.131113	-0.000104042	1000	1000	1000	678.731	776.918	864.294
126000	1.32337	0.714283	1.97714	1.32326	-0.835555	1.97705	1.32326	-0.835555	1.97705	-0.000106511	-0.121272	-9.60282E-05	1000	1000	1000	667.96	765.732	853.216
127800	1.14409	0.688742	1.80407	1.14399	-0.799878	1.80398	1.14399	-0.799878	1.80398	-9.80035E-05	-0.111135	-8.79905E-05	1000	1000	1000	657.192	754.538	842.132
129600	0.970709	0.6659	1.61003	0.97062	-0.766799	1.60994	0.97062	-0.766799	1.60994	-8.92796E-05	-0.100899	-8.18136E-05	1000	1000	1000	646.427	743.337	831.043
131400	0.808221	0.639906	1.47757	0.80814	-0.73035	1.4775	0.80814	-0.73035	1.4775	-8.02367E-05	-0.0904436	-7.13125E-05	1000	1000	1000	635.666	732.127	819.953
