# PPP43_neu.rpt
X	S:Mises PI 0: BLOCK	S:Mises PI 1: BLOCK	S:Mises PI 2: BLOCK	S:S11 PI 0: BLOCK_G	S:S11 PI 1: BLOCK_G	S:S11 PI 2: BLOCK_G	S:S22 PI 0: BLOCK_G	S:S22 PI 1: BLOCK_G	S:S22 PI 2: BLOCK_G	S:S33 PI 0: BLOCK_G	S:S33 PI 1: BLOCK_G	S:S33 PI 2: BLOCK_G	SDV1 PI 0: BLOCK_G1	SDV1 PI 1: BLOCK_G1	SDV1 PI 2: BLOCK_G1	TEMP PI 0: BLOCK_G1	TEMP PI 1: BLOCK_G1	TEMP PI 2: BLOCK_G1
0	0	0	0	0	0	0	0	0	0	0	0	0	1000	1000	1000	1410	1410	1410
7200	0.328852	0.273541	0.283624	0.328865	-0.259678	0.283036	0.328865	-0.259678	0.283036	1.32419E-05	0.013862	-0.000577061	1446.91	1040.4	1118.49	1370.36	1395.79	1409.22
14400	0.265926	0.24995	0.232279	0.266022	-0.234203	0.232436	0.266022	-0.234203	0.232436	9.63899E-05	0.0157463	0.000157871	1446.96	1040.56	1118.87	1329.71	1375.11	1407.91
21600	0.097732	0.197654	0.112042	0.0978369	-0.171881	0.112207	0.0978369	-0.171881	0.112207	0.000105073	0.025772	0.000166257	1446.96	1040.56	1118.87	1289.05	1354.15	1406.56
28800	0.261175	0.0995405	0.108861	-0.261053	-0.0529835	-0.108676	-0.261053	-0.0529835	-0.108676	0.000122073	0.0465554	0.000183111	1446.96	1040.56	1118.87	1248.4	1332.95	1405.19
36000	0.407232	0.0980195	0.287314	-0.407187	0.164991	-0.286339	-0.407187	0.164991	-0.286339	4.53612E-05	0.0669735	0.000966551	1456.83	1040.56	1121.07	1207.77	1311.54	1403.81
36000	0.407232	0.0980195	0.287314	-0.407187	0.164991	-0.286339	-0.407187	0.164991	-0.286339	4.53612E-05	0.0669735	0.000966551	1456.83	1040.56	1121.07	1207.77	1311.54	1403.81
37800	0.490007	0.374895	0.412196	0.489984	-0.375152	0.41228	0.489984	-0.375152	0.41228	-2.30992E-05	-0.000274521	0.000083609	1462.73	1055.27	1421.78	1197.28	1304.81	1393.62
37800	0.490007	0.374895	0.412196	0.489984	-0.375152	0.41228	0.489984	-0.375152	0.41228	-2.30992E-05	-0.000274521	0.000083609	1462.73	1055.27	1421.78	1197.28	1304.81	1393.62
39600	0.503742	0.348659	0.364835	0.503759	-0.343107	0.364914	0.503759	-0.343107	0.364914	0.000017365	0.00555179	0.000079632	1525.42	1082.56	1509.04	1186.62	1295.49	1382.78
39600	0.503742	0.348659	0.364835	0.503759	-0.343107	0.364914	0.503759	-0.343107	0.364914	0.000017365	0.00555179	0.000079632	1525.42	1082.56	1509.04	1186.62	1295.49	1382.78
41400	0.452941	0.327772	0.347105	0.45297	-0.316534	0.347188	0.45297	-0.316534	0.347188	2.97417E-05	0.0112357	0.000082881	1547.41	1089.15	1517.97	1175.86	1285.1	1371.83
41400	0.452941	0.327772	0.347105	0.45297	-0.316534	0.347188	0.45297	-0.316534	0.347188	2.97417E-05	0.0112357	0.000082881	1547.41	1089.15	1517.97	1175.86	1285.1	1371.83
43200	0.418272	0.318553	0.334254	0.418302	-0.305446	0.33434	0.418302	-0.305446	0.33434	3.03139E-05	0.0131032	8.64061E-05	1551.28	1090.57	1518.42	1165.06	1274.33	1360.84
43200	0.418272	0.318553	0.334254	0.418302	-0.305446	0.33434	0.418302	-0.305446	0.33434	3.03139E-05	0.0131032	8.64061E-05	1551.28	1090.57	1518.42	1165.06	1274.33	1360.84
45000	0.3892	0.314749	0.31404	0.389236	-0.299798	0.314125	0.389236	-0.299798	0.314125	3.61253E-05	0.0149451	8.57326E-05	1551.47	1090.85	1518.42	1154.25	1263.4	1349.83
45000	0.3892	0.314749	0.31404	0.389236	-0.299798	0.314125	0.389236	-0.299798	0.314125	3.61253E-05	0.0149451	8.57326E-05	1551.47	1090.85	1518.42	1154.25	1263.4	1349.83
46800	0.339777	0.314215	0.272888	0.339818	-0.295711	0.272971	0.339818	-0.295711	0.272971	4.11311E-05	0.018497	8.29719E-05	1551.47	1090.89	1518.42	1143.43	1252.41	1338.82
46800	0.339777	0.314215	0.272888	0.339818	-0.295711	0.272971	0.339818	-0.295711	0.272971	4.11311E-05	0.018497	8.29719E-05	1551.47	1090.89	1518.42	1143.43	1252.41	1338.82
48600	0.27958	0.315565	0.219111	0.279626	-0.292957	0.219197	0.279626	-0.292957	0.219197	4.58312E-05	0.0225992	8.58738E-05	1551.47	1090.89	1518.42	1132.62	1241.41	1327.8
48600	0.27958	0.315565	0.219111	0.279626	-0.292957	0.219197	0.279626	-0.292957	0.219197	4.58312E-05	0.0225992	8.58738E-05	1551.47	1090.89	1518.42	1132.62	1241.41	1327.8
50400	0.241357	0.317582	0.186218	0.241406	-0.290906	0.186307	0.241406	-0.290906	0.186307	4.90877E-05	0.0266671	8.93159E-05	1551.47	1090.89	1518.42	1121.8	1230.39	1316.78
