x	y	QEM
0	0	11.855436
0.005	0.015	21.616801
0.01	0.029999999	23.419265
0.01	0.041658498	29.951332
0.01	0.0524772	37.100097
0.01	0.062780596	45.291274
0.01	0.072593503	54.940613
0.01	0.081938997	66.463395
0.01	0.090839498	80.319783
0.01	0.099316202	97.037477
0.01	0.107389	117.25413
0.01	0.115078	141.74634
0.01	0.1224	171.45583
0.01	0.129374	207.53273
0.01	0.136016	251.39783
0.01	0.142341	304.7928
0.01	0.148366	369.86534
0.01	0.154103	449.24447
0.01	0.159567	546.1608
0.01	0.16477101	664.56139
0.01	0.169727	809.25527
0.01	0.174447	986.23878
0.01	0.17894299	1202.7393
0.01	0.18322399	1467.4122
0.01	0.18730099	1791.1195
0.01	0.191185	2186.7994
0.01	0.194883	2669.9133
0.01	0.198405	3259.3085
0.01	0.20175999	3977.6195
0.01	0.204955	4851.4223
0.01	0.20799699	5913.1391
0.01	0.210895	7201.0042
0.01	0.21365499	8759.3995
0.01	0.21628299	10639.879
0.01	0.218786	12904.788
0.01	0.22116999	15626.915
0.01	0.223441	18895.534
0.01	0.225603	22800.95
0.01	0.227662	27459.454
0.01	0.229624	33008.71
0.01	0.231492	39592.372
0.01	0.233271	47395.709
0.01	0.234965	56622.804
0.01	0.236578	67495.351
0.01	0.238115	80304.365
0.01	0.23957901	95386.3
0.01	0.240973	113078.69
0.01	0.2423	133834.32
0.01	0.24356399	158113.71
0.01	0.24476799	186527.5
0.01	0.245915	219803.35
0.01	0.247007	258685.24
0.01	0.24804699	304123.06
0.01	0.249038	357226.63
0.01	0.249981	419263.58
0.01	0.25088	491782.5
0.01	0.25173599	576456.2
0.01	0.25255099	675483.53
0.01	0.25332701	791186.38
0.01	0.25406599	926316.55
0.01	0.25477001	1084723.2
0.01	0.25544101	1269793
0.01	0.25607899	1485896.6
0.01	0.25668699	1738784.8
0.01	0.25726601	2034321.3
0.01	0.25781801	2380605.7
0.01	0.25834301	2785032.9
0.01	0.25884399	3256721.5
0.01	0.25931999	3808890.1
0.01	0.259774	4450819.1
0.01	0.26020601	5199368.9
0.01	0.260618	6070445.7
0.01	0.26100999	7084576.9
0.01	0.261383	8259423.1
0.01	0.26173899	9611739.8
0.01	0.262077	11180700
0.01	0.2624	12981254
0.01	0.262707	15031371
0.01	0.262999	17363605
0.01	0.26327801	19999733
0.01	0.26354301	22957399
0.01	0.263796	26242927
0.01	0.26403701	29874517
0.01	0.26426601	33807334
0.01	0.26448399	38012990
0.01	0.26469201	42486398
0.01	0.26488999	47147068
0.01	0.26507899	51926289
0.01	0.26525801	56726587
0.01	0.26542899	61415701
0.01	0.26559201	65989496
0.01	0.26574701	70286180
0.01	0.26589501	74276283
0.01	0.266036	77947187
0.01	0.26617	80800378
0.01	0.26629701	82889897
0.01	0.26641899	84904082
0.01	0.26653501	86595941
0.01	0.26664501	87459551
0.01	0.26675001	88136536
0.01	0.26684999	88356542
0.01	0.26695001	87953358
0.01	0.267055	87661238
0.01	0.26716501	86750525
0.01	0.267281	85192051
0.01	0.26740301	83207876
0.01	0.26752999	81021707
0.01	0.26766399	78321287
0.01	0.26780501	74875342
0.01	0.26795301	70870324
0.01	0.26810801	66620393
0.01	0.268271	62090339
0.01	0.268442	57437982
0.01	0.268621	52666722
0.01	0.26881	47908610
0.01	0.26900801	43259615
0.01	0.269216	38788403
0.01	0.26943401	34576392
0.01	0.26966301	30628786
0.01	0.26990399	26975634
0.01	0.27015701	23662680
0.01	0.27042201	20672673
0.01	0.27070099	18000769
0.01	0.27099299	15630526
0.01	0.27129999	13541230
0.01	0.27162299	11700695
0.01	0.271961	10092404
0.01	0.27231699	8702204.5
0.01	0.27269	7490533.4
0.01	0.27308199	6441534.7
0.01	0.27349401	5537787.8
0.01	0.27392599	4758759.2
0.01	0.27438	4088617.9
0.01	0.274856	3510395.6
0.01	0.27535701	3014898.4
0.01	0.27588201	2588682
0.01	0.276434	2222573.8
0.01	0.277013	1909126.8
0.01	0.277621	1639907.9
0.01	0.27825999	1409037.2
0.01	0.27893001	1210800.3
0.01	0.279634	1040498.4
0.01	0.28037301	894562.69
0.01	0.281149	769089.94
0.01	0.281964	661235.53
0.01	0.28281999	568578.65
0.01	0.283719	488819.36
0.01	0.28466201	420221.38
0.01	0.285653	361156.93
0.01	0.28669301	310299.98
0.01	0.28778499	266486.24
0.01	0.288932	228714.09
0.01	0.29013601	196203.85
0.01	0.29139999	168192.52
0.01	0.29272699	144030.06
0.01	0.294121	123230.77
0.01	0.29558501	105315.09
0.01	0.297122	89930.236
0.01	0.29873499	76718.379
0.01	0.30042899	65366.647
0.01	0.30220801	55640.051
0.01	0.30407599	47316.072
0.01	0.30603799	40194.163
0.01	0.308097	34120.308
0.01	0.31025901	28941.821
0.01	0.31253001	24528.26
0.01	0.31491399	20779.895
0.01	0.317417	17596.192
0.01	0.32004499	14893.588
0.01	0.32280499	12599.472
0.01	0.325703	10655.171
0.01	0.32874501	9008.2273
0.01	0.33194	7612.7855
0.01	0.33529499	6430.015
0.01	0.338817	5427.7258
0.01	0.34251499	4578.3502
0.01	0.34639901	3858.1398
0.01	0.350476	3247.6042
0.01	0.35475701	2730.2032
0.01	0.35925299	2291.4808
0.01	0.36397299	1919.968
0.01	0.368929	1605.7227
0.01	0.37413299	1340.0121
0.01	0.37959701	1115.7829
0.01	0.38533401	926.98096
0.01	0.391359	768.28545
0.01	0.39768401	635.2379
0.01	0.40432599	523.97948
